N,50,nodes,1,AVG Computation,AVG Total,AVG Total - AVG Computation,,,Matrix size,Nodes,AVG Computation Time,AVG Total Time,AVG Total - AVG Computation Time,Matrix size and Nodes
Computation duration:,588211,ns,,666153.3,11263700,10597546.7,,,50,1,666153.3,11263700,10597546.7,"""50, 1"""
Total duration:,11291200,ns,,,,,,,50,4,18868671.9,40278740,21410068.1,"""50, 4"""
Computation duration:,595100,ns,,,,,,,100,1,4153773,43620180,39466407,"""100, 1"""
Total duration:,10293600,ns,,,,,,,100,4,10206197,167663780,157457583,"""100, 4"""
Computation duration:,743968,ns,,,,,,,100,16,475025900,805502000,330476100,"""100, 16"""
Total duration:,11322300,ns,,,,,,,200,1,35524980,202398800,166873820,"""200, 1"""
Computation duration:,635406,ns,,,,,,,200,4,67680730,872357800,804677070,"""200, 4"""
Total duration:,11050400,ns,,,,,,,200,16,1141177000,2804238000,1663061000,"""200, 16"""
Computation duration:,730910,ns,,,,,,,500,1,539156900,1972587000,1433430100,"""500, 1"""
Total duration:,10594900,ns,,,,,,,500,4,317055500,3892990000,3575934500,"""500, 4"""
Computation duration:,613301,ns,,,,,,,500,16,5419873000,14038450000,8618577000,"""500, 16"""
Total duration:,10837500,ns,,,,,,,1000,1,6237843000,16262660000,10024817000,"""1000, 1"""
Computation duration:,640954,ns,,,,,,,1000,4,3099597000,21559850000,18460253000,"""1000, 4"""
Total duration:,11372300,ns,,,,,,,1000,16,19503330000,59072340000,39569010000,"""1000, 16"""
Computation duration:,646989,ns,,,,,,,,,,,,
Total duration:,11788900,ns,,,,,,,,,,,,
Computation duration:,843957,ns,,,,,,,,,,,,
Total duration:,12634700,ns,,,,,,,,,,,,
Computation duration:,622737,ns,,,,,,,,,,,,
Total duration:,11451200,ns,,,,,,,,,,,,
N,50,nodes,4,,,,,,,,,,,
Computation duration:,45970700,ns,,18868671.9,40278740,21410068.1,,,,,,,,
Total duration:,57719400,ns,,,,,,,,,,,,
Computation duration:,53703200,ns,,,,,,,,,,,,
